"DONNEES - Effectifs des médecins"
"SEXE - Ensemble tous sexes confondus"
"SECT.ACTIVITE - ENSEMBLE"

;;ANNEE;"2015"
"Normandie";"Médecine physique et réadaptation";"Entre 30 et 34 ans";5
"Normandie";"Médecine physique et réadaptation";"Entre 35 et 39 ans";5
"Normandie";"Médecine physique et réadaptation";"Entre 40 et 44 ans";4
"Normandie";"Médecine physique et réadaptation";"Entre 45 et 49 ans";6
"Normandie";"Médecine physique et réadaptation";"Entre 50 et 54 ans";10
"Normandie";"Médecine physique et réadaptation";"Entre 55 et 59 ans";15
"Normandie";"Médecine physique et réadaptation";"Entre 60 et 64 ans";16
"Normandie";"Médecine physique et réadaptation";"Entre 65 et 69 ans";6
"Normandie";"Médecine physique et réadaptation";"70 ans et plus";0
"Normandie";"Néphrologie";"Ensemble tous âges confondus";82
"Normandie";"Néphrologie";"Moins de 30 ans";4
"Normandie";"Néphrologie";"Entre 30 et 34 ans";13
"Normandie";"Néphrologie";"Entre 35 et 39 ans";11
"Normandie";"Néphrologie";"Entre 40 et 44 ans";11
"Normandie";"Néphrologie";"Entre 45 et 49 ans";12
"Normandie";"Néphrologie";"Entre 50 et 54 ans";13
"Normandie";"Néphrologie";"Entre 55 et 59 ans";6
"Normandie";"Néphrologie";"Entre 60 et 64 ans";5
"Normandie";"Néphrologie";"Entre 65 et 69 ans";7
"Normandie";"Néphrologie";"70 ans et plus";0
"Normandie";"Neurochirurgie";"Ensemble tous âges confondus";26
"Normandie";"Neurochirurgie";"Moins de 30 ans";0
"Normandie";"Neurochirurgie";"Entre 30 et 34 ans";3
"Normandie";"Neurochirurgie";"Entre 35 et 39 ans";4
"Normandie";"Neurochirurgie";"Entre 40 et 44 ans";2
"Normandie";"Neurochirurgie";"Entre 45 et 49 ans";2
"Normandie";"Neurochirurgie";"Entre 50 et 54 ans";5
"Normandie";"Neurochirurgie";"Entre 55 et 59 ans";2
"Normandie";"Neurochirurgie";"Entre 60 et 64 ans";3
"Normandie";"Neurochirurgie";"Entre 65 et 69 ans";4
"Normandie";"Neurochirurgie";"70 ans et plus";1
"Normandie";"Neurologie";"Ensemble tous âges confondus";103
"Normandie";"Neurologie";"Moins de 30 ans";7
"Normandie";"Neurologie";"Entre 30 et 34 ans";12
"Normandie";"Neurologie";"Entre 35 et 39 ans";8
"Normandie";"Neurologie";"Entre 40 et 44 ans";13
"Normandie";"Neurologie";"Entre 45 et 49 ans";17
"Normandie";"Neurologie";"Entre 50 et 54 ans";12
"Normandie";"Neurologie";"Entre 55 et 59 ans";13
"Normandie";"Neurologie";"Entre 60 et 64 ans";11
"Normandie";"Neurologie";"Entre 65 et 69 ans";8
"Normandie";"Neurologie";"70 ans et plus";2
"Normandie";"ORL et chirurgie cervico-faciale";"Ensemble tous âges confondus";154
"Normandie";"ORL et chirurgie cervico-faciale";"Moins de 30 ans";0
"Normandie";"ORL et chirurgie cervico-faciale";"Entre 30 et 34 ans";17
"Normandie";"ORL et chirurgie cervico-faciale";"Entre 35 et 39 ans";9
"Normandie";"ORL et chirurgie cervico-faciale";"Entre 40 et 44 ans";13
"Normandie";"ORL et chirurgie cervico-faciale";"Entre 45 et 49 ans";13
"Normandie";"ORL et chirurgie cervico-faciale";"Entre 50 et 54 ans";15
"Normandie";"ORL et chirurgie cervico-faciale";"Entre 55 et 59 ans";40
"Normandie";"ORL et chirurgie cervico-faciale";"Entre 60 et 64 ans";22
"Normandie";"ORL et chirurgie cervico-faciale";"Entre 65 et 69 ans";21
"Normandie";"ORL et chirurgie cervico-faciale";"70 ans et plus";4
"Normandie";"Oncologie option médicale";"Ensemble tous âges confondus";36
"Normandie";"Oncologie option médicale";"Moins de 30 ans";2
"Normandie";"Oncologie option médicale";"Entre 30 et 34 ans";4
"Normandie";"Oncologie option médicale";"Entre 35 et 39 ans";6
"Normandie";"Oncologie option médicale";"Entre 40 et 44 ans";9
"Normandie";"Oncologie option médicale";"Entre 45 et 49 ans";5
"Normandie";"Oncologie option médicale";"Entre 50 et 54 ans";3
"Normandie";"Oncologie option médicale";"Entre 55 et 59 ans";3
"Normandie";"Oncologie option médicale";"Entre 60 et 64 ans";2
"Normandie";"Oncologie option médicale";"Entre 65 et 69 ans";2
"Normandie";"Oncologie option médicale";"70 ans et plus";0
"Normandie";"Ophtalmologie";"Ensemble tous âges confondus";237
"Normandie";"Ophtalmologie";"Moins de 30 ans";2
"Normandie";"Ophtalmologie";"Entre 30 et 34 ans";10
"Normandie";"Ophtalmologie";"Entre 35 et 39 ans";22
"Normandie";"Ophtalmologie";"Entre 40 et 44 ans";19
"Normandie";"Ophtalmologie";"Entre 45 et 49 ans";20
"Normandie";"Ophtalmologie";"Entre 50 et 54 ans";28
"Normandie";"Ophtalmologie";"Entre 55 et 59 ans";57
"Normandie";"Ophtalmologie";"Entre 60 et 64 ans";51
"Normandie";"Ophtalmologie";"Entre 65 et 69 ans";18
"Normandie";"Ophtalmologie";"70 ans et plus";10
"Normandie";"Pédiatrie";"Ensemble tous âges confondus";316
"Normandie";"Pédiatrie";"Moins de 30 ans";7
"Normandie";"Pédiatrie";"Entre 30 et 34 ans";38
"Normandie";"Pédiatrie";"Entre 35 et 39 ans";45
"Normandie";"Pédiatrie";"Entre 40 et 44 ans";39
"Normandie";"Pédiatrie";"Entre 45 et 49 ans";34
"Normandie";"Pédiatrie";"Entre 50 et 54 ans";34
"Normandie";"Pédiatrie";"Entre 55 et 59 ans";55
"Normandie";"Pédiatrie";"Entre 60 et 64 ans";36
"Normandie";"Pédiatrie";"Entre 65 et 69 ans";23
"Normandie";"Pédiatrie";"70 ans et plus";5
"Normandie";"Pneumologie";"Ensemble tous âges confondus";141
"Normandie";"Pneumologie";"Moins de 30 ans";6
"Normandie";"Pneumologie";"Entre 30 et 34 ans";14
"Normandie";"Pneumologie";"Entre 35 et 39 ans";10
"Normandie";"Pneumologie";"Entre 40 et 44 ans";19
"Normandie";"Pneumologie";"Entre 45 et 49 ans";17
"Normandie";"Pneumologie";"Entre 50 et 54 ans";21
"Normandie";"Pneumologie";"Entre 55 et 59 ans";24
"Normandie";"Pneumologie";"Entre 60 et 64 ans";18
"Normandie";"Pneumologie";"Entre 65 et 69 ans";10
"Normandie";"Pneumologie";"70 ans et plus";2
"Normandie";"Psychiatrie";"Ensemble tous âges confondus";525
"Normandie";"Psychiatrie";"Moins de 30 ans";8
"Normandie";"Psychiatrie";"Entre 30 et 34 ans";59
"Normandie";"Psychiatrie";"Entre 35 et 39 ans";49
"Normandie";"Psychiatrie";"Entre 40 et 44 ans";44
"Normandie";"Psychiatrie";"Entre 45 et 49 ans";38
"Normandie";"Psychiatrie";"Entre 50 et 54 ans";67
"Normandie";"Psychiatrie";"Entre 55 et 59 ans";87
"Normandie";"Psychiatrie";"Entre 60 et 64 ans";99
"Normandie";"Psychiatrie";"Entre 65 et 69 ans";60
"Normandie";"Psychiatrie";"70 ans et plus";14
"Normandie";"Radiodiagnostic et imagerie médicale";"Ensemble tous âges confondus";351
"Normandie";"Radiodiagnostic et imagerie médicale";"Moins de 30 ans";4
"Normandie";"Radiodiagnostic et imagerie médicale";"Entre 30 et 34 ans";26
"Normandie";"Radiodiagnostic et imagerie médicale";"Entre 35 et 39 ans";23
"Normandie";"Radiodiagnostic et imagerie médicale";"Entre 40 et 44 ans";28
"Normandie";"Radiodiagnostic et imagerie médicale";"Entre 45 et 49 ans";55
"Normandie";"Radiodiagnostic et imagerie médicale";"Entre 50 et 54 ans";63
"Normandie";"Radiodiagnostic et imagerie médicale";"Entre 55 et 59 ans";67
"Normandie";"Radiodiagnostic et imagerie médicale";"Entre 60 et 64 ans";44
"Normandie";"Radiodiagnostic et imagerie médicale";"Entre 65 et 69 ans";34
"Normandie";"Radiodiagnostic et imagerie médicale";"70 ans et plus";7
"Normandie";"Radiothérapie";"Ensemble tous âges confondus";42
"Normandie";"Radiothérapie";"Moins de 30 ans";0
"Normandie";"Radiothérapie";"Entre 30 et 34 ans";3
"Normandie";"Radiothérapie";"Entre 35 et 39 ans";2
"Normandie";"Radiothérapie";"Entre 40 et 44 ans";6
"Normandie";"Radiothérapie";"Entre 45 et 49 ans";4
"Normandie";"Radiothérapie";"Entre 50 et 54 ans";6
"Normandie";"Radiothérapie";"Entre 55 et 59 ans";8
"Normandie";"Radiothérapie";"Entre 60 et 64 ans";7
"Normandie";"Radiothérapie";"Entre 65 et 69 ans";5
"Normandie";"Radiothérapie";"70 ans et plus";1
"Normandie";"Réanimation médicale";"Ensemble tous âges confondus";7
"Normandie";"Réanimation médicale";"Moins de 30 ans";0
"Normandie";"Réanimation médicale";"Entre 30 et 34 ans";1
"Normandie";"Réanimation médicale";"Entre 35 et 39 ans";2
"Normandie";"Réanimation médicale";"Entre 40 et 44 ans";1
"Normandie";"Réanimation médicale";"Entre 45 et 49 ans";0
"Normandie";"Réanimation médicale";"Entre 50 et 54 ans";3
"Normandie";"Réanimation médicale";"Entre 55 et 59 ans";0
"Normandie";"Réanimation médicale";"Entre 60 et 64 ans";0
"Normandie";"Réanimation médicale";"Entre 65 et 69 ans";0
"Normandie";"Réanimation médicale";"70 ans et plus";0
"Normandie";"Recherche médicale";"Ensemble tous âges confondus";0
"Normandie";"Recherche médicale";"Moins de 30 ans";0
"Normandie";"Recherche médicale";"Entre 30 et 34 ans";0
"Normandie";"Recherche médicale";"Entre 35 et 39 ans";0
"Normandie";"Recherche médicale";"Entre 40 et 44 ans";0
"Normandie";"Recherche médicale";"Entre 45 et 49 ans";0
"Normandie";"Recherche médicale";"Entre 50 et 54 ans";0
"Normandie";"Recherche médicale";"Entre 55 et 59 ans";0
"Normandie";"Recherche médicale";"Entre 60 et 64 ans";0
"Normandie";"Recherche médicale";"Entre 65 et 69 ans";0
"Normandie";"Recherche médicale";"70 ans et plus";0
"Normandie";"Rhumatologie";"Ensemble tous âges confondus";111
"Normandie";"Rhumatologie";"Moins de 30 ans";2
"Normandie";"Rhumatologie";"Entre 30 et 34 ans";14
"Normandie";"Rhumatologie";"Entre 35 et 39 ans";9
"Normandie";"Rhumatologie";"Entre 40 et 44 ans";11
"Normandie";"Rhumatologie";"Entre 45 et 49 ans";16
"Normandie";"Rhumatologie";"Entre 50 et 54 ans";16
"Normandie";"Rhumatologie";"Entre 55 et 59 ans";21
"Normandie";"Rhumatologie";"Entre 60 et 64 ans";19
"Normandie";"Rhumatologie";"Entre 65 et 69 ans";3
"Normandie";"Rhumatologie";"70 ans et plus";0
"Normandie";"Santé publique et médecine sociale";"Ensemble tous âges confondus";61
"Normandie";"Santé publique et médecine sociale";"Moins de 30 ans";0
"Normandie";"Santé publique et médecine sociale";"Entre 30 et 34 ans";8
"Normandie";"Santé publique et médecine sociale";"Entre 35 et 39 ans";8
"Normandie";"Santé publique et médecine sociale";"Entre 40 et 44 ans";6
"Normandie";"Santé publique et médecine sociale";"Entre 45 et 49 ans";11
"Normandie";"Santé publique et médecine sociale";"Entre 50 et 54 ans";10
"Normandie";"Santé publique et médecine sociale";"Entre 55 et 59 ans";6
"Normandie";"Santé publique et médecine sociale";"Entre 60 et 64 ans";6
"Normandie";"Santé publique et médecine sociale";"Entre 65 et 69 ans";6
"Normandie";"Santé publique et médecine sociale";"70 ans et plus";0
"Normandie";"Généralistes";"Ensemble tous âges confondus";4740
"Normandie";"Généralistes";"Moins de 30 ans";103
"Normandie";"Généralistes";"Entre 30 et 34 ans";406
"Normandie";"Généralistes";"Entre 35 et 39 ans";338
"Normandie";"Généralistes";"Entre 40 et 44 ans";414
"Normandie";"Généralistes";"Entre 45 et 49 ans";499
"Normandie";"Généralistes";"Entre 50 et 54 ans";754
"Normandie";"Généralistes";"Entre 55 et 59 ans";959
"Normandie";"Généralistes";"Entre 60 et 64 ans";844
"Normandie";"Généralistes";"Entre 65 et 69 ans";323
"Normandie";"Généralistes";"70 ans et plus";100
"Normandie";"Médecine générale";"Ensemble tous âges confondus";4740
"Normandie";"Médecine générale";"Moins de 30 ans";103
"Normandie";"Médecine générale";"Entre 30 et 34 ans";406
"Normandie";"Médecine générale";"Entre 35 et 39 ans";338
"Normandie";"Médecine générale";"Entre 40 et 44 ans";414
"Normandie";"Médecine générale";"Entre 45 et 49 ans";499
"Normandie";"Médecine générale";"Entre 50 et 54 ans";754
"Normandie";"Médecine générale";"Entre 55 et 59 ans";959
"Normandie";"Médecine générale";"Entre 60 et 64 ans";844
"Normandie";"Médecine générale";"Entre 65 et 69 ans";323
"Normandie";"Médecine générale";"70 ans et plus";100
"Pays de la Loire";"Ensemble des spécialités d'exercice";"Ensemble tous âges confondus";10539
"Pays de la Loire";"Ensemble des spécialités d'exercice";"Moins de 30 ans";220
"Pays de la Loire";"Ensemble des spécialités d'exercice";"Entre 30 et 34 ans";1106
"Pays de la Loire";"Ensemble des spécialités d'exercice";"Entre 35 et 39 ans";1041
"Pays de la Loire";"Ensemble des spécialités d'exercice";"Entre 40 et 44 ans";1039
"Pays de la Loire";"Ensemble des spécialités d'exercice";"Entre 45 et 49 ans";1221
"Pays de la Loire";"Ensemble des spécialités d'exercice";"Entre 50 et 54 ans";1491
"Pays de la Loire";"Ensemble des spécialités d'exercice";"Entre 55 et 59 ans";1931
"Pays de la Loire";"Ensemble des spécialités d'exercice";"Entre 60 et 64 ans";1693
"Pays de la Loire";"Ensemble des spécialités d'exercice";"Entre 65 et 69 ans";647
"Pays de la Loire";"Ensemble des spécialités d'exercice";"70 ans et plus";150
"Pays de la Loire";"Spécialistes";"Ensemble tous âges confondus";5240
"Pays de la Loire";"Spécialistes";"Moins de 30 ans";78
"Pays de la Loire";"Spécialistes";"Entre 30 et 34 ans";570
"Pays de la Loire";"Spécialistes";"Entre 35 et 39 ans";569
"Pays de la Loire";"Spécialistes";"Entre 40 et 44 ans";541
"Pays de la Loire";"Spécialistes";"Entre 45 et 49 ans";640
"Pays de la Loire";"Spécialistes";"Entre 50 et 54 ans";731
"Pays de la Loire";"Spécialistes";"Entre 55 et 59 ans";952
"Pays de la Loire";"Spécialistes";"Entre 60 et 64 ans";793
"Pays de la Loire";"Spécialistes";"Entre 65 et 69 ans";293
"Pays de la Loire";"Spécialistes";"70 ans et plus";73
"Pays de la Loire";"Anatomie et cytologie pathologiques";"Ensemble tous âges confondus";71
"Pays de la Loire";"Anatomie et cytologie pathologiques";"Moins de 30 ans";0
"Pays de la Loire";"Anatomie et cytologie pathologiques";"Entre 30 et 34 ans";6
"Pays de la Loire";"Anatomie et cytologie pathologiques";"Entre 35 et 39 ans";7
"Pays de la Loire";"Anatomie et cytologie pathologiques";"Entre 40 et 44 ans";7
"Pays de la Loire";"Anatomie et cytologie pathologiques";"Entre 45 et 49 ans";12
"Pays de la Loire";"Anatomie et cytologie pathologiques";"Entre 50 et 54 ans";13
"Pays de la Loire";"Anatomie et cytologie pathologiques";"Entre 55 et 59 ans";16
"Pays de la Loire";"Anatomie et cytologie pathologiques";"Entre 60 et 64 ans";7
"Pays de la Loire";"Anatomie et cytologie pathologiques";"Entre 65 et 69 ans";3
"Pays de la Loire";"Anatomie et cytologie pathologiques";"70 ans et plus";0
"Pays de la Loire";"Anesthésie-réanimation";"Ensemble tous âges confondus";538
"Pays de la Loire";"Anesthésie-réanimation";"Moins de 30 ans";4
"Pays de la Loire";"Anesthésie-réanimation";"Entre 30 et 34 ans";45
"Pays de la Loire";"Anesthésie-réanimation";"Entre 35 et 39 ans";72
"Pays de la Loire";"Anesthésie-réanimation";"Entre 40 et 44 ans";67
"Pays de la Loire";"Anesthésie-réanimation";"Entre 45 et 49 ans";55
"Pays de la Loire";"Anesthésie-réanimation";"Entre 50 et 54 ans";58
"Pays de la Loire";"Anesthésie-réanimation";"Entre 55 et 59 ans";119
"Pays de la Loire";"Anesthésie-réanimation";"Entre 60 et 64 ans";81
"Pays de la Loire";"Anesthésie-réanimation";"Entre 65 et 69 ans";31
"Pays de la Loire";"Anesthésie-réanimation";"70 ans et plus";6
"Pays de la Loire";"Biologie médicale";"Ensemble tous âges confondus";133
"Pays de la Loire";"Biologie médicale";"Moins de 30 ans";6
"Pays de la Loire";"Biologie médicale";"Entre 30 et 34 ans";15
"Pays de la Loire";"Biologie médicale";"Entre 35 et 39 ans";17
"Pays de la Loire";"Biologie médicale";"Entre 40 et 44 ans";9
"Pays de la Loire";"Biologie médicale";"Entre 45 et 49 ans";21
"Pays de la Loire";"Biologie médicale";"Entre 50 et 54 ans";37
"Pays de la Loire";"Biologie médicale";"Entre 55 et 59 ans";16
"Pays de la Loire";"Biologie médicale";"Entre 60 et 64 ans";10
"Pays de la Loire";"Biologie médicale";"Entre 65 et 69 ans";1
"Pays de la Loire";"Biologie médicale";"70 ans et plus";1
"Pays de la Loire";"Cardiologie et maladies vasculaires";"Ensemble tous âges confondus";265
"Pays de la Loire";"Cardiologie et maladies vasculaires";"Moins de 30 ans";5
"Pays de la Loire";"Cardiologie et maladies vasculaires";"Entre 30 et 34 ans";33
"Pays de la Loire";"Cardiologie et maladies vasculaires";"Entre 35 et 39 ans";33
"Pays de la Loire";"Cardiologie et maladies vasculaires";"Entre 40 et 44 ans";27
"Pays de la Loire";"Cardiologie et maladies vasculaires";"Entre 45 et 49 ans";33
"Pays de la Loire";"Cardiologie et maladies vasculaires";"Entre 50 et 54 ans";43
"Pays de la Loire";"Cardiologie et maladies vasculaires";"Entre 55 et 59 ans";35
"Pays de la Loire";"Cardiologie et maladies vasculaires";"Entre 60 et 64 ans";38
"Pays de la Loire";"Cardiologie et maladies vasculaires";"Entre 65 et 69 ans";14
"Pays de la Loire";"Cardiologie et maladies vasculaires";"70 ans et plus";4
"Pays de la Loire";"Chirurgie générale";"Ensemble tous âges confondus";147
"Pays de la Loire";"Chirurgie générale";"Moins de 30 ans";2
"Pays de la Loire";"Chirurgie générale";"Entre 30 et 34 ans";53
"Pays de la Loire";"Chirurgie générale";"Entre 35 et 39 ans";9
"Pays de la Loire";"Chirurgie générale";"Entre 40 et 44 ans";3
"Pays de la Loire";"Chirurgie générale";"Entre 45 et 49 ans";9
"Pays de la Loire";"Chirurgie générale";"Entre 50 et 54 ans";7
"Pays de la Loire";"Chirurgie générale";"Entre 55 et 59 ans";24
"Pays de la Loire";"Chirurgie générale";"Entre 60 et 64 ans";23
"Pays de la Loire";"Chirurgie générale";"Entre 65 et 69 ans";14
"Pays de la Loire";"Chirurgie générale";"70 ans et plus";3
"Pays de la Loire";"Chirurgie maxillo-faciale et stomatologie";"Ensemble tous âges confondus";67
"Pays de la Loire";"Chirurgie maxillo-faciale et stomatologie";"Moins de 30 ans";0
"Pays de la Loire";"Chirurgie maxillo-faciale et stomatologie";"Entre 30 et 34 ans";2
"Pays de la Loire";"Chirurgie maxillo-faciale et stomatologie";"Entre 35 et 39 ans";7
"Pays de la Loire";"Chirurgie maxillo-faciale et stomatologie";"Entre 40 et 44 ans";5
"Pays de la Loire";"Chirurgie maxillo-faciale et stomatologie";"Entre 45 et 49 ans";5
"Pays de la Loire";"Chirurgie maxillo-faciale et stomatologie";"Entre 50 et 54 ans";8
"Pays de la Loire";"Chirurgie maxillo-faciale et stomatologie";"Entre 55 et 59 ans";13
"Pays de la Loire";"Chirurgie maxillo-faciale et stomatologie";"Entre 60 et 64 ans";17
"Pays de la Loire";"Chirurgie maxillo-faciale et stomatologie";"Entre 65 et 69 ans";7
"Pays de la Loire";"Chirurgie maxillo-faciale et stomatologie";"70 ans et plus";3
"Pays de la Loire";"Chirurgie orthopédique et traumatologie";"Ensemble tous âges confondus";156
"Pays de la Loire";"Chirurgie orthopédique et traumatologie";"Moins de 30 ans";0
"Pays de la Loire";"Chirurgie orthopédique et traumatologie";"Entre 30 et 34 ans";11
"Pays de la Loire";"Chirurgie orthopédique et traumatologie";"Entre 35 et 39 ans";17
"Pays de la Loire";"Chirurgie orthopédique et traumatologie";"Entre 40 et 44 ans";25
"Pays de la Loire";"Chirurgie orthopédique et traumatologie";"Entre 45 et 49 ans";18
"Pays de la Loire";"Chirurgie orthopédique et traumatologie";"Entre 50 et 54 ans";30
"Pays de la Loire";"Chirurgie orthopédique et traumatologie";"Entre 55 et 59 ans";35
"Pays de la Loire";"Chirurgie orthopédique et traumatologie";"Entre 60 et 64 ans";18
"Pays de la Loire";"Chirurgie orthopédique et traumatologie";"Entre 65 et 69 ans";2
"Pays de la Loire";"Chirurgie orthopédique et traumatologie";"70 ans et plus";0
"Pays de la Loire";"Chirurgie infantile";"Ensemble tous âges confondus";14
"Pays de la Loire";"Chirurgie infantile";"Moins de 30 ans";0
"Pays de la Loire";"Chirurgie infantile";"Entre 30 et 34 ans";0
"Pays de la Loire";"Chirurgie infantile";"Entre 35 et 39 ans";4
"Pays de la Loire";"Chirurgie infantile";"Entre 40 et 44 ans";3
"Pays de la Loire";"Chirurgie infantile";"Entre 45 et 49 ans";2
"Pays de la Loire";"Chirurgie infantile";"Entre 50 et 54 ans";2
"Pays de la Loire";"Chirurgie infantile";"Entre 55 et 59 ans";0
"Pays de la Loire";"Chirurgie infantile";"Entre 60 et 64 ans";3
"Pays de la Loire";"Chirurgie infantile";"Entre 65 et 69 ans";0
"Pays de la Loire";"Chirurgie infantile";"70 ans et plus";0
"Pays de la Loire";"Chirurgie plastique reconstructrice et esthétique";"Ensemble tous âges confondus";34
"Pays de la Loire";"Chirurgie plastique reconstructrice et esthétique";"Moins de 30 ans";0
"Pays de la Loire";"Chirurgie plastique reconstructrice et esthétique";"Entre 30 et 34 ans";3
"Pays de la Loire";"Chirurgie plastique reconstructrice et esthétique";"Entre 35 et 39 ans";6
"Pays de la Loire";"Chirurgie plastique reconstructrice et esthétique";"Entre 40 et 44 ans";4
"Pays de la Loire";"Chirurgie plastique reconstructrice et esthétique";"Entre 45 et 49 ans";3
"Pays de la Loire";"Chirurgie plastique reconstructrice et esthétique";"Entre 50 et 54 ans";6
"Pays de la Loire";"Chirurgie plastique reconstructrice et esthétique";"Entre 55 et 59 ans";8
"Pays de la Loire";"Chirurgie plastique reconstructrice et esthétique";"Entre 60 et 64 ans";2
"Pays de la Loire";"Chirurgie plastique reconstructrice et esthétique";"Entre 65 et 69 ans";1
"Pays de la Loire";"Chirurgie plastique reconstructrice et esthétique";"70 ans et plus";1
"Pays de la Loire";"Chirurgie thoracique et cardio-vasculaire";"Ensemble tous âges confondus";17
"Pays de la Loire";"Chirurgie thoracique et cardio-vasculaire";"Moins de 30 ans";0
"Pays de la Loire";"Chirurgie thoracique et cardio-vasculaire";"Entre 30 et 34 ans";2
"Pays de la Loire";"Chirurgie thoracique et cardio-vasculaire";"Entre 35 et 39 ans";1
"Pays de la Loire";"Chirurgie thoracique et cardio-vasculaire";"Entre 40 et 44 ans";7
"Pays de la Loire";"Chirurgie thoracique et cardio-vasculaire";"Entre 45 et 49 ans";0
"Pays de la Loire";"Chirurgie thoracique et cardio-vasculaire";"Entre 50 et 54 ans";5
"Pays de la Loire";"Chirurgie thoracique et cardio-vasculaire";"Entre 55 et 59 ans";1
"Pays de la Loire";"Chirurgie thoracique et cardio-vasculaire";"Entre 60 et 64 ans";1
"Pays de la Loire";"Chirurgie thoracique et cardio-vasculaire";"Entre 65 et 69 ans";0
"Pays de la Loire";"Chirurgie thoracique et cardio-vasculaire";"70 ans et plus";0
"Pays de la Loire";"Chirurgie urologique";"Ensemble tous âges confondus";59
"Pays de la Loire";"Chirurgie urologique";"Moins de 30 ans";0
"Pays de la Loire";"Chirurgie urologique";"Entre 30 et 34 ans";9
"Pays de la Loire";"Chirurgie urologique";"Entre 35 et 39 ans";9
"Pays de la Loire";"Chirurgie urologique";"Entre 40 et 44 ans";7
"Pays de la Loire";"Chirurgie urologique";"Entre 45 et 49 ans";12
"Pays de la Loire";"Chirurgie urologique";"Entre 50 et 54 ans";11
"Pays de la Loire";"Chirurgie urologique";"Entre 55 et 59 ans";6
"Pays de la Loire";"Chirurgie urologique";"Entre 60 et 64 ans";5
"Pays de la Loire";"Chirurgie urologique";"Entre 65 et 69 ans";0
"Pays de la Loire";"Chirurgie urologique";"70 ans et plus";0
"Pays de la Loire";"Chirurgie vasculaire";"Ensemble tous âges confondus";35
"Pays de la Loire";"Chirurgie vasculaire";"Moins de 30 ans";0
"Pays de la Loire";"Chirurgie vasculaire";"Entre 30 et 34 ans";5
"Pays de la Loire";"Chirurgie vasculaire";"Entre 35 et 39 ans";2
"Pays de la Loire";"Chirurgie vasculaire";"Entre 40 et 44 ans";5
"Pays de la Loire";"Chirurgie vasculaire";"Entre 45 et 49 ans";4
"Pays de la Loire";"Chirurgie vasculaire";"Entre 50 et 54 ans";7
"Pays de la Loire";"Chirurgie vasculaire";"Entre 55 et 59 ans";7
"Pays de la Loire";"Chirurgie vasculaire";"Entre 60 et 64 ans";4
"Pays de la Loire";"Chirurgie vasculaire";"Entre 65 et 69 ans";1
"Pays de la Loire";"Chirurgie vasculaire";"70 ans et plus";0
"Pays de la Loire";"Chirurgie viscérale et digestive";"Ensemble tous âges confondus";60
"Pays de la Loire";"Chirurgie viscérale et digestive";"Moins de 30 ans";0
"Pays de la Loire";"Chirurgie viscérale et digestive";"Entre 30 et 34 ans";3
"Pays de la Loire";"Chirurgie viscérale et digestive";"Entre 35 et 39 ans";9
"Pays de la Loire";"Chirurgie viscérale et digestive";"Entre 40 et 44 ans";9
"Pays de la Loire";"Chirurgie viscérale et digestive";"Entre 45 et 49 ans";13
"Pays de la Loire";"Chirurgie viscérale et digestive";"Entre 50 et 54 ans";19
"Pays de la Loire";"Chirurgie viscérale et digestive";"Entre 55 et 59 ans";5
"Pays de la Loire";"Chirurgie viscérale et digestive";"Entre 60 et 64 ans";2
"Pays de la Loire";"Chirurgie viscérale et digestive";"Entre 65 et 69 ans";0
"Pays de la Loire";"Chirurgie viscérale et digestive";"70 ans et plus";0
"Pays de la Loire";"Dermatologie et vénéréologie";"Ensemble tous âges confondus";164
"Pays de la Loire";"Dermatologie et vénéréologie";"Moins de 30 ans";6
"Pays de la Loire";"Dermatologie et vénéréologie";"Entre 30 et 34 ans";17
"Pays de la Loire";"Dermatologie et vénéréologie";"Entre 35 et 39 ans";9
"Pays de la Loire";"Dermatologie et vénéréologie";"Entre 40 et 44 ans";15
"Pays de la Loire";"Dermatologie et vénéréologie";"Entre 45 et 49 ans";20
"Pays de la Loire";"Dermatologie et vénéréologie";"Entre 50 et 54 ans";23
"Pays de la Loire";"Dermatologie et vénéréologie";"Entre 55 et 59 ans";32
"Pays de la Loire";"Dermatologie et vénéréologie";"Entre 60 et 64 ans";30
"Pays de la Loire";"Dermatologie et vénéréologie";"Entre 65 et 69 ans";12
"Pays de la Loire";"Dermatologie et vénéréologie";"70 ans et plus";0
"Pays de la Loire";"Endocrinologie et métabolisme";"Ensemble tous âges confondus";68
"Pays de la Loire";"Endocrinologie et métabolisme";"Moins de 30 ans";2
"Pays de la Loire";"Endocrinologie et métabolisme";"Entre 30 et 34 ans";9
"Pays de la Loire";"Endocrinologie et métabolisme";"Entre 35 et 39 ans";11
"Pays de la Loire";"Endocrinologie et métabolisme";"Entre 40 et 44 ans";10
"Pays de la Loire";"Endocrinologie et métabolisme";"Entre 45 et 49 ans";11
"Pays de la Loire";"Endocrinologie et métabolisme";"Entre 50 et 54 ans";13
"Pays de la Loire";"Endocrinologie et métabolisme";"Entre 55 et 59 ans";7
"Pays de la Loire";"Endocrinologie et métabolisme";"Entre 60 et 64 ans";4
"Pays de la Loire";"Endocrinologie et métabolisme";"Entre 65 et 69 ans";1
"Pays de la Loire";"Endocrinologie et métabolisme";"70 ans et plus";0
"Pays de la Loire";"Génétique médicale";"Ensemble tous âges confondus";11
"Pays de la Loire";"Génétique médicale";"Moins de 30 ans";0
"Pays de la Loire";"Génétique médicale";"Entre 30 et 34 ans";1
"Pays de la Loire";"Génétique médicale";"Entre 35 et 39 ans";4
